uj,t,value
1,1,0.0
2,1,2266.7
3,1,6926.45
4,1,0.0
5,1,0.0
6,1,0.0
7,1,14050.194642859999
8,1,0.0
9,1,0.0
10,1,124.02928572
1,2,0.0
2,2,9706.299997999999
3,2,8169.169554996819
4,2,0.0
5,2,0.0
6,2,17398.866666
7,2,4607.898809159999
8,2,22089.866665199996
9,2,0.0
10,2,28718.597591543177
1,3,1305.5749718431398
2,3,9706.299997999999
3,3,8169.169554996819
4,3,0.0
5,3,0.0
6,3,17398.866666
7,3,4607.898809160004
8,3,82919.59999999999
9,3,40129.84000000004
10,3,135297.2
1,4,0.0
2,4,3070.6000000000004
3,4,3156.35
4,4,0.0
5,4,0.0
6,4,0.0
7,4,2660.7749999999996
8,4,0.0
9,4,8217.562499999995
10,4,14410.300000000003
