uj,t,value
1,1,560.4050000000001
2,1,2266.7
3,1,6926.45
4,1,0.0
5,1,219.26
6,1,1216.0
7,1,11731.24464286
8,1,0.0
9,1,323.28499999999997
10,1,124.02928572
1,2,8897.105763223688
2,2,9706.299997999999
3,2,10512.5
4,2,8387.495641606301
5,2,0.0
6,2,9069.06992849
7,2,9133.562744342238
8,2,9069.06992849
9,2,0.0
10,2,25915.595280747762
1,3,29953.445
2,3,19398.806614051457
3,3,10512.5
4,3,8387.495641606307
5,3,29953.445
6,3,29953.445
7,3,9133.562744342238
8,3,33794.55377822106
9,3,98493.75122177893
10,3,29953.445
1,4,3260.7
2,4,3070.6000000000004
3,4,3151.5587499999997
4,4,0.0
5,4,5508.2
6,4,3151.5587499999997
7,4,1661.5112499999996
8,4,0.0
9,4,8559.899999999998
10,4,3151.5587499999997
