uj,t,value
1,1,560.4050000000001
2,1,1999.9934035741899
3,1,0.0
4,1,0.0
5,1,219.26
6,1,1216.0
7,1,18924.401239285813
8,1,0.0
9,1,323.28499999999997
10,1,124.02928572
1,2,9069.06992849
2,2,9259.968673928934
3,2,10512.5
4,2,0.0
5,2,219.26
6,2,9069.06992849
7,2,9482.105405585808
8,2,22089.866665199996
9,2,3547.0903573099968
10,2,17441.768325895257
1,3,29953.445
2,3,29896.4
3,3,29953.445
4,3,0.0
5,3,4268.678750000006
6,3,29953.445
7,3,9482.105405585826
8,3,82919.59999999999
9,3,63097.97500000003
10,3,20009.35584441416
1,4,3260.7
2,4,3070.6000000000004
3,4,3151.5587499999997
4,4,0.0
5,4,4268.678750000003
6,4,3151.5587499999997
7,4,242.83249999999316
8,4,0.0
9,4,11218.1
10,4,3151.5587499999997
