uj,t,value
1,1,0.0
2,1,2266.7
3,1,6926.45
4,1,0.0
5,1,0.0
6,1,0.0
7,1,14050.194642859999
8,1,0.0
9,1,0.0
10,1,124.02928572
1,2,5520.690043974028
2,2,9706.299997999999
3,2,10512.5
4,2,0.0
5,2,0.0
6,2,11610.080720931084
7,2,14955.042561866481
8,2,0.0
9,2,3036.2568132259935
10,2,35349.82914690241
1,3,30875.1
2,3,12026.105771393504
3,3,0.0
4,3,0.0
5,3,29953.445
6,3,29953.445
7,3,10442.624228606459
8,3,0.0
9,3,106266.70000000001
10,3,80017.03000000001
1,4,0.0
2,4,3070.6000000000004
3,4,3156.35
4,4,0.0
5,4,0.0
6,4,2780.6974999999784
7,4,2660.7749999999996
8,4,0.0
9,4,5436.865000000016
10,4,14410.300000000003
