uj,t,value
1,1,560.4050000000001
2,1,519.0025071427517
3,1,0.0
4,1,0.0
5,1,219.26
6,1,1216.0
7,1,20405.39213571725
8,1,0.0
9,1,323.28499999999997
10,1,124.02928572
1,2,0.0
2,2,8556.946857200024
3,2,10512.5
4,2,0.0
5,2,0.0
6,2,17366.40504524126
7,2,15723.9083326
8,2,22089.866665199996
9,2,0.0
10,2,16441.072384658717
1,3,29953.445
2,3,4743.518523280014
3,3,0.0
4,3,0.0
5,3,29953.445
6,3,17725.211476719975
7,3,0.0
8,3,82919.59999999999
9,3,104285.78500000003
10,3,29953.445
1,4,3260.7
2,4,2208.954999999978
3,4,0.0
4,4,0.0
5,4,5508.2
6,4,6144.2
7,4,0.0
8,4,0.0
9,4,11218.1
10,4,3175.4325000000163
