FI_spac,FI_temp,worst_case,nominal_case,large_modules,small_modules,worst_decision
0.0,1.0,96911.21647677373,91671.86197937359,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 2, l = 1, t = 2]: 1.00; Y[i = 4, l = 4, t = 2]: 1.00; Y[i = 4, l = 4, t = 3]: 1.00; Y[i = 5, l = 1, t = 1]: 1.00; Y[i = 5, l = 1, t = 3]: 1.00; Y[i = 5, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.1,0.0,97352.22099824922,91402.3017917109,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 4, l = 1, t = 1]: 1.00; Y[i = 4, l = 1, t = 2]: 1.00; Y[i = 4, l = 1, t = 4]: 1.00; Y[i = 5, l = 4, t = 3]: 1.00; Y[i = 7, l = 4, t = 2]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 2, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.1,0.1,97649.45359727,91671.86191709836,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 4, l = 4, t = 3]: 1.00; Y[i = 5, l = 1, t = 1]: 1.00; Y[i = 5, l = 1, t = 2]: 1.00; Y[i = 5, l = 1, t = 3]: 1.00; Y[i = 5, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 2]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.1,0.2,97770.72536986391,91671.86189014051,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 2, l = 1, t = 2]: 1.00; Y[i = 4, l = 4, t = 3]: 1.00; Y[i = 5, l = 1, t = 1]: 1.00; Y[i = 5, l = 1, t = 2]: 1.00; Y[i = 5, l = 1, t = 3]: 1.00; Y[i = 5, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 2]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 2, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.1,0.3,97770.72536986391,91671.86197937359,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 2, l = 1, t = 2]: 1.00; Y[i = 4, l = 4, t = 3]: 1.00; Y[i = 5, l = 1, t = 1]: 1.00; Y[i = 5, l = 1, t = 2]: 1.00; Y[i = 5, l = 1, t = 3]: 1.00; Y[i = 5, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 2]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 2, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.1,0.4,97770.72536986393,91671.86197937351,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 2, l = 1, t = 2]: 1.00; Y[i = 4, l = 4, t = 3]: 1.00; Y[i = 5, l = 1, t = 1]: 1.00; Y[i = 5, l = 1, t = 2]: 1.00; Y[i = 5, l = 1, t = 3]: 1.00; Y[i = 5, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 2]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 2, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.1,0.5,97770.7253698639,91671.86197937359,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 2, l = 1, t = 2]: 1.00; Y[i = 4, l = 4, t = 3]: 1.00; Y[i = 5, l = 1, t = 1]: 1.00; Y[i = 5, l = 1, t = 2]: 1.00; Y[i = 5, l = 1, t = 3]: 1.00; Y[i = 5, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 2]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 2, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.1,0.6,97770.72536986393,91671.86197937359,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 2, l = 1, t = 2]: 1.00; Y[i = 4, l = 4, t = 3]: 1.00; Y[i = 5, l = 1, t = 1]: 1.00; Y[i = 5, l = 1, t = 2]: 1.00; Y[i = 5, l = 1, t = 3]: 1.00; Y[i = 5, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 2]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 2, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.1,0.7,97770.7253698639,91671.86147542438,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 2, l = 1, t = 2]: 1.00; Y[i = 4, l = 4, t = 3]: 1.00; Y[i = 5, l = 1, t = 1]: 1.00; Y[i = 5, l = 1, t = 2]: 1.00; Y[i = 5, l = 1, t = 3]: 1.00; Y[i = 5, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 2]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 2, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.1,0.8,97770.7253698639,91671.86079153109,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 2, l = 1, t = 2]: 1.00; Y[i = 4, l = 4, t = 3]: 1.00; Y[i = 5, l = 1, t = 1]: 1.00; Y[i = 5, l = 1, t = 2]: 1.00; Y[i = 5, l = 1, t = 3]: 1.00; Y[i = 5, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 2]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 2, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.1,0.9,97770.7253698639,91671.8609360729,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 2, l = 1, t = 2]: 1.00; Y[i = 4, l = 4, t = 3]: 1.00; Y[i = 5, l = 1, t = 1]: 1.00; Y[i = 5, l = 1, t = 2]: 1.00; Y[i = 5, l = 1, t = 3]: 1.00; Y[i = 5, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 2]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 2, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.1,1.0,97770.72536986567,91671.86197937359,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 2, l = 1, t = 2]: 1.00; Y[i = 4, l = 4, t = 3]: 1.00; Y[i = 5, l = 1, t = 1]: 1.00; Y[i = 5, l = 1, t = 2]: 1.00; Y[i = 5, l = 1, t = 3]: 1.00; Y[i = 5, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 2]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 2, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.2,0.0,97843.60713043189,91402.3017917109,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 2, l = 1, t = 2]: 1.00; Y[i = 4, l = 1, t = 1]: 1.00; Y[i = 4, l = 1, t = 2]: 1.00; Y[i = 4, l = 1, t = 3]: 1.00; Y[i = 4, l = 1, t = 4]: 1.00; Y[i = 5, l = 4, t = 3]: 1.00; Y[i = 6, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 2]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.2,0.1,97943.42397370547,92040.59481282839,2.0,6.0,"Y[i = 1, l = 2, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 2, l = 1, t = 2]: 1.00; Y[i = 2, l = 1, t = 4]: 1.00; Y[i = 4, l = 1, t = 1]: 1.00; Y[i = 4, l = 1, t = 2]: 1.00; Y[i = 4, l = 1, t = 3]: 1.00; Y[i = 4, l = 1, t = 4]: 1.00; Y[i = 5, l = 4, t = 3]: 1.00; Y[i = 6, l = 1, t = 1]: 1.00; Y[i = 6, l = 1, t = 4]: 1.00; Y[i = 7, l = 1, t = 1]: 1.00; Y[i = 7, l = 1, t = 2]: 1.00; Y[i = 7, l = 3, t = 3]: 1.00; Y[i = 7, l = 1, t = 4]: 1.00; Y[i = 8, l = 4, t = 2]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.2,0.2,98665.4858742802,91402.3017917109,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 4, l = 1, t = 1]: 1.00; Y[i = 4, l = 1, t = 2]: 1.00; Y[i = 4, l = 1, t = 3]: 1.00; Y[i = 4, l = 1, t = 4]: 1.00; Y[i = 5, l = 4, t = 2]: 1.00; Y[i = 5, l = 4, t = 3]: 1.00; Y[i = 6, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 2, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
