uj,t,value
1,1,560.4050000000001
2,1,0.0
3,1,0.0
4,1,0.0
5,1,219.26
6,1,378.0408964313119
7,1,21886.38303214869
8,1,0.0
9,1,323.28499999999997
10,1,0.0
1,2,5195.161281876605
2,2,9706.299997999999
3,2,7179.133491914323
4,2,0.0
5,2,0.0
6,2,17398.866666
7,2,7845.784841345689
8,2,22089.866665199996
9,2,0.0
10,2,21275.586340563375
1,3,18707.81303643662
2,3,9706.299997999999
3,3,0.0
4,3,0.0
5,3,2348.8506250000282
6,3,58309.6
7,3,0.0
8,3,82919.59999999999
9,3,106266.70000000001
10,3,21275.586340563375
1,4,3260.7
2,4,0.0
3,4,0.0
4,4,0.0
5,4,5508.2
6,4,1667.72914745157
7,4,0.0
8,4,0.0
9,4,11218.1
10,4,9860.858352548425
