uj,t,value
1,1,0.0
2,1,2266.7
3,1,6926.45
4,1,0.0
5,1,0.0
6,1,305.49419912960394
7,1,13744.700443730395
8,1,0.0
9,1,0.0
10,1,124.02928572
1,2,8712.62179040657
2,2,9706.299997999999
3,2,10512.5
4,2,0.0
5,2,0.0
6,2,13015.92882820153
7,2,8742.68730485344
8,2,0.0
9,2,9069.06992849
10,2,30931.591434948445
1,3,25334.954593458107
2,3,29896.4
3,3,30971.200000000004
4,3,0.0
5,3,0.0
6,3,42304.03124901917
7,3,2506.298683304537
8,3,40111.80375098085
9,3,106266.70000000001
10,3,22143.061723237344
1,4,2466.4962499999892
2,4,3070.6000000000004
3,4,3151.5587499999997
4,4,0.0
5,4,0.0
6,4,3151.5587499999997
7,4,2660.7749999999996
8,4,0.0
9,4,3151.5587499999997
10,4,13863.040000000012
