uj,t,value
1,1,560.4050000000001
2,1,1012.6661392865644
3,1,0.0
4,1,0.0
5,1,219.26
6,1,1216.0
7,1,19911.72850357344
8,1,0.0
9,1,323.28499999999997
10,1,124.02928572
1,2,1309.65587689813
2,2,9706.299997999999
3,2,10512.5
4,2,2627.402170841892
5,2,0.0
6,2,13444.476931398762
7,2,15723.9083326
8,2,22089.866665199996
9,2,0.0
10,2,15276.58930996122
1,3,29953.445
2,3,6244.5549999999785
3,3,0.0
4,3,0.0
5,3,29953.445
6,3,29953.445
7,3,0.0
8,3,82919.59999999999
9,3,90556.51500000003
10,3,29953.445
1,4,3260.7
2,4,3070.6000000000004
3,4,557.0337499999841
4,4,0.0
5,4,5508.2
6,4,4749.395000000011
7,4,0.0
8,4,0.0
9,4,11218.1
10,4,3151.5587499999997
