uj,t,value
1,1,560.4050000000001
2,1,2266.7
3,1,2808.6468371652472
4,1,0.0
5,1,219.26
6,1,1216.0
7,1,15849.047805694754
8,1,0.0
9,1,323.28499999999997
10,1,124.02928572
1,2,1139.3835070680468
2,2,9706.299997999999
3,2,10512.5
4,2,2797.6745406719747
5,2,0.0
6,2,13633.549683153857
7,2,15723.9083326
8,2,22089.866665199996
9,2,0.0
10,2,15087.516558206125
1,3,29953.445
2,3,29896.4
3,3,30971.200000000004
4,3,0.0
5,3,4033.2376872235445
6,3,53670.25782426209
7,3,2268.3623127764176
8,3,42474.84717573794
9,3,106266.70000000001
10,3,0.0
1,4,3260.7
2,4,2454.7666681833834
3,4,0.0
4,4,0.0
5,4,5508.2
6,4,3151.5587499999997
7,4,1172.8670818166004
8,4,0.0
9,4,11218.1
10,4,4749.39500000001
