uj,t,value
1,1,560.4050000000001
2,1,2266.7
3,1,4062.576365737591
4,1,0.0
5,1,219.26
6,1,1216.0
7,1,14595.118277122412
8,1,0.0
9,1,323.28499999999997
10,1,124.02928572
1,2,9069.06992849
2,2,9069.06992849
3,2,10512.5
4,2,0.0
5,2,0.0
6,2,9069.06992849
7,2,12821.728735527136
8,2,19713.177892120028
9,2,3766.350357309988
10,2,16669.732514472827
1,3,29953.445
2,3,29896.4
3,3,30971.200000000004
4,3,0.0
5,3,4268.678750000006
6,3,29953.445
7,3,12821.728735527155
8,3,41742.37966226433
9,3,103257.44033773568
10,3,16669.732514472827
1,4,3260.7
2,4,3070.6000000000004
3,4,2116.4310209740042
4,4,0.0
5,4,4268.678750000003
6,4,3151.5587499999997
7,4,971.9418055528943
8,4,306.01842347309406
9,4,11218.1
10,4,3151.5587499999997
