uj,t,value
1,1,560.4050000000001
2,1,1012.6661392865644
3,1,0.0
4,1,0.0
5,1,219.26
6,1,1216.0
7,1,19911.72850357344
8,1,0.0
9,1,323.28499999999997
10,1,124.02928572
1,2,7050.279571460012
2,2,9069.06992849
3,2,9069.06992849
4,2,0.0
5,2,0.0
6,2,16192.665335266716
7,2,5955.848404770002
8,2,22089.866665199996
9,2,0.0
10,2,21263.899451223257
1,3,29953.445
2,3,9069.06992849
3,3,0.0
4,3,0.0
5,3,27128.93007150998
6,3,29953.445
7,3,0.0
8,3,82919.59999999999
9,3,90556.51500000003
10,3,29953.445
1,4,3260.7
2,4,3070.6000000000004
3,4,557.0337499999841
4,4,0.0
5,4,5508.2
6,4,4749.395000000011
7,4,0.0
8,4,0.0
9,4,11218.1
10,4,3151.5587499999997
