uj,t,value
1,1,560.4050000000001
2,1,1506.3297714303771
3,1,0.0
4,1,0.0
5,1,219.26
6,1,1216.0
7,1,19418.064871429626
8,1,0.0
9,1,323.28499999999997
10,1,124.02928572
1,2,4177.769728347534
2,2,9706.299997999999
3,2,10512.5
4,2,4208.46943842248
5,2,0.0
6,2,9769.084638313525
7,2,15723.9083326
8,2,22089.866665199996
9,2,0.0
10,2,14502.800484016469
1,3,29953.445
2,3,19973.824999999993
3,3,0.0
4,3,0.0
5,3,29953.445
6,3,29953.445
7,3,0.0
8,3,82919.59999999999
9,3,76827.24500000001
10,3,29953.445
1,4,3260.7
2,4,3070.6000000000004
3,4,1975.7124999999885
4,4,0.0
5,4,5508.2
6,4,3330.7162500000068
7,4,0.0
8,4,0.0
9,4,11218.1
10,4,3151.5587499999997
